booth_code,x,y
S-90,866,63
T-10,913,690
T-16,905,653
T-17,921,652
T-20,918,596
T-40,935,439
T-60,911,300
T-61,928,298
T-64,909,279
T-65,926,279
T-80,910,154
U-01,934,737
U-02,951,734
U-03,971,734
U-05,1002,736
U-10,957,691
U-11,971,691
U-16,955,653
U-17,971,653
U-20,957,610
U-21,969,613
U-26,964,573
U-50,971,356
U-60,964,286
U-70,956,241
U-71,971,240
U-74,957,216
U-75,971,216
U-80,960,156
U-90,967,67
V-10,1003,697
V-11,1020,694
V-12,1005,684
V-16,1005,655
V-17,1020,655
V-20,1010,609
V-26,1005,574
V-27,1022,573
V-30,1003,519
V-40,1002,443
V-60,1011,291
V-70,1008,226
V-80,1015,158
W-10,1061,697
W-16,1057,655
W-17,1073,651
W-20,1057,614
W-21,1073,613
W-26,1054,570
W-27,1072,578
W-29,1071,565
W-30,1063,515
W-40,1062,442
W-50,1067,380
W-56,1064,348
W-58,1056,331
W-59,1072,333
W-60,1058,298
W-61,1071,288
W-64,1057,278
W-70,1057,249
W-71,1074,251
W-72,1054,234
W-73,1074,236
W-76,1058,205
W-77,1071,206
W-80,1056,150
W-81,1072,164
W-85,1072,135
W-90,1064,69
X-01,1114,736
X-10,1113,688
X-16,1114,651
X-20,1109,613
X-26,1106,579
X-27,1119,570
X-28,1106,566
X-30,1113,517
X-40,1107,457
X-41,1119,459
X-44,1103,431
X-45,1120,434
X-60,1112,290
X-70,1104,249
X-71,1122,252
X-72,1106,230
X-73,1119,236
X-76,1104,210
X-77,1119,213
X-78,1108,197
X-79,1122,198
X-80,1115,147
X-90,1167,74
Y-01,1147,733
Y-03,1169,733
Y-10,1153,676
Y-18,1154,648
Y-11,1169,688
Y-15,1170,656
Y-20,1155,613
Y-21,1170,614
Y-26,1153,567
Y-27,1168,579
Y-29,1169,565
Y-40,1153,465
Y-41,1169,465
Y-42,1164,437
Y-60,1163,299
Y-64,1155,278
Y-65,1168,276
Y-70,1163,241
Y-76,1153,210
Y-77,1167,202
Y-78,1154,198
Y-80,1164,146
Z-10,1210,694
Z-16,1204,655
Z-17,1221,655
Z-20,1204,613
Z-21,1221,614
Z-26,1201,574
Z-27,1219,581
Z-29,1216,567
Z-40,1204,461
Z-41,1215,459
Z-44,1209,432
Z-50,1211,372
Z-60,1203,327
Z-64,1206,306
Z-61,1220,317
Z-70,1203,271
Z-71,1218,279
Z-03,1218,267
Z-76,1214,205
Z-80,1211,150
ZA-01,1257,737
ZA-10,1260,674
ZA-20,1265,587
ZA-30,1259,519
ZA-40,1259,461
ZA-44,1269,426
ZA-50,1259,377
ZA-60,1254,319
ZA-61,1269,325
ZA-65,1269,307
ZA-70,1259,263
ZA-76,1265,218
ZA-80,1260,155
ZB-10,1315,674
ZB-20,1315,610
ZB-26,1307,571
ZB-27,1322,578
ZB-29,1322,563
ZB-30,1313,520
ZB-40,1312,445
ZB-50,1313,373
ZB-60,1313,315
ZB-70,1315,263
ZB-76,1307,217
ZB-77,1321,216
ZB-80,1313,160
ZC-10,1364,680
ZC-18,1363,647
ZC-20,1367,590
ZC-30,1366,519
ZC-40,1366,446
ZC-50,1367,372
ZC-60,1357,326
ZC-61,1372,325
ZC-64,1363,304
ZC-70,1356,263
ZC-71,1371,267
ZC-76,1356,217
ZC-77,1372,221
ZC-79,1373,207
ZC-80,1364,183
ZC-82,1369,166
ZC-86,1362,132
ZC-90,1368,70
ZD-01,1403,737
ZD-03,1429,736
ZD-10,1416,680
ZD-18,1407,647
ZD-19,1424,648
ZD-20,1413,616
ZD-24,1407,579
ZD-25,1422,589
ZD-27,1421,569
ZD-30,1414,527
ZD-36,1408,500
ZD-37,1421,500
ZD-40,1413,445
ZD-50,1417,372
ZD-60,1416,327
ZD-64,1409,306
ZD-65,1423,306
ZD-70,1416,265
ZD-76,1411,217
ZD-80,1408,167
ZD-81,1422,182
ZD-83,1422,151
ZD-86,1406,133
ZE-90,1419,74
