booth_code,x,y
3E-A24,1207,218
3E-A20,1207,249
3E-A18,1207,266
3E-A10,1207,310
3E-A06,1208,326
3E-A04A,1207,341
3E-A43,1189,112
3E-A41,1190,122
3E-A39,1190,134
3E-A37,1190,146
3E-A35,1190,157
3E-A33,1190,168
3E-A31,1189,179
3E-A27,1190,201
3E-A23,1190,218
3E-A21,1191,243
3E-A19,1191,257
3E-A17,1191,266
3E-A15,1189,277
3E-A13,1190,297
3E-A11,1189,306
3E-A09,1190,317
3E-A05,1189,335
3D-E02,1185,357
3D-E42,1179,119
3D-E40,1180,132
3D-E36,1180,151
3D-E34,1179,166
3D-E32,1178,177
3D-E28,1181,201
3D-E24,1179,217
3D-E18,1180,254
3D-E16,1179,276
3D-E14,1181,296
3D-E12,1179,306
3D-E10,1179,316
3D-E06,1179,336
3D-E41,1161,117
3D-E37,1162,139
3D-E35,1162,157
3D-E33,1163,168
3D-E31,1163,179
3D-E29,1162,190
3D-E23,1164,212
3D-E17,1162,254
3D-E15A,1162,274
3D-E15,1163,284
3D-E11,1163,301
3D-E07,1162,322
3D-D02,1157,352
3D-D42,1152,116
3D-D40,1153,133
3D-D38,1155,144
3D-D36,1152,157
3D-D34,1151,168
3D-D32,1153,177
3D-D30,1153,188
3D-D24,1152,212
3D-D18,1153,253
3D-D16A,1153,274
3D-D14,1153,290
3D-D08,1152,317
3D-D41,1138,117
3D-D37,1136,139
3D-D33,1136,161
3D-D29,1136,183
3D-D23,1136,212
3D-D17,1136,254
3D-D13A,1136,275
3D-D15,1136,284
3D-D11,1135,299
3D-D05,1138,328
3D-C02,1130,357
3D-C42,1126,119
3D-C40,1126,133
3D-C38,1125,145
3D-C36,1125,157
3D-C34,1125,167
3D-C30,1126,181
3D-C24,1127,212
3D-C20,1126,248
3D-C18,1125,264
3D-C16A,1126,273
3D-C14,1124,288
3D-C10,1126,310
3D-C06,1125,332
3D-C41,1108,117
3D-C39,1108,134
3D-C37,1108,145
3D-C35,1108,156
3D-C33,1108,167
3D-C31,1108,177
3D-C29,1108,189
3D-C23,1108,213
3D-C17,1108,254
3D-C15A,1108,275
3D-C13,1108,290
3D-C09,1109,312
3D-C05,1108,334
3D-B02,1104,355
3D-B44,1099,110
3D-B42,1097,122
3D-B38,1098,140
3D-B36,1097,156
3D-B34,1097,168
3D-B30,1099,183
3D-B24,1097,213
3D-B18,1098,255
3D-B16A,1098,275
3D-B14,1099,289
3D-B10,1099,310
3D-B06,1098,332
3D-B43,1080,114
3D-B41,1081,126
3D-B39,1082,137
3D-B37,1081,148
3D-B35,1082,159
3D-B33,1081,170
3D-B31,1080,181
3D-B29,1081,192
3D-B23,1081,212
3D-B17,1080,266
3D-B13,1081,288
3D-B11,1080,301
3D-B05,1080,326
3D-B05A,1082,342
3D-A02,1077,358
3D-A42,1071,119
3D-A40,1071,134
3D-A38,1071,148
3D-A36,1070,159
3D-A34,1069,172
3D-A28,1071,201
3D-A24,1071,219
3D-A20,1077,248
3D-A18,1070,266
3D-A12,1070,301
3D-A08,1073,322
3D-A06,1072,331
3D-A06A,1070,341
3D-A43,1054,111
3D-A41,1054,123
3D-A39,1055,134
3D-A37,1053,145
3D-A35,1054,156
3D-A33,1053,168
3D-A25,1054,210
3D-A23,1053,223
3D-A19,1055,249
3D-A17,1055,266
3D-A11,1053,301
3D-A07,1054,321
3D-A05A,1054,332
3D-A05,1054,341
3D-A01,1054,357
3C-G42,1043,117
3C-G40,1044,134
3C-G38,1045,144
3C-G36,1045,157
3C-G34,1046,168
3C-G26,1043,211
3C-G24,1043,222
3C-G18,1046,255
3C-G12,1044,300
3C-G08,1045,319
3C-G06A,1044,330
3C-G02,1045,351
3C-G41,1027,116
3C-G39,1028,133
3C-G37,1027,144
3C-G35,1026,156
3C-G33,1028,168
3C-G31,1027,179
3C-G29,1027,189
3C-G17,1027,266
3C-G15A,1026,276
3C-G15,1028,284
3C-G13,1026,295
3C-G11,1026,306
3C-G05,1027,330
3C-F02,1022,357
3C-F42,1017,116
3C-F38,1017,138
3C-F36,1017,155
3C-F34,1017,167
3C-F32,1017,178
3C-F30,1019,188
3C-F24,1021,211
3C-F20,1023,249
3C-F18,1017,265
3C-F16A,1017,275
3C-F16,1017,284
3C-F12,1017,299
3C-F10,1018,317
3C-F06,1018,334
3C-F41,999,118
3C-F39,1000,134
3C-F37,999,145
3C-F35,999,156
3C-F31,1001,171
3C-F27,1000,196
3C-F17,999,254
3C-F15,1000,276
3C-F13A,1001,285
3C-F11,1000,299
3C-F07,1000,322
3C-F05,999,338
3C-E02,995,356
3C-E42,988,118
3C-E40,990,133
3C-E38,989,145
3C-E36,989,155
3C-E34,990,166
3C-E32,989,177
3C-E28,989,195
3C-E24,994,219
3C-E18,990,255
3C-E16,988,277
3C-E14A,989,285
3C-E14,990,295
3C-E10,990,311
3C-E06,989,334
3C-E41,972,118
3C-E39,973,135
3C-E37,973,146
3C-E35,973,156
3C-E33,972,168
3C-E31,972,179
3C-E29,972,190
3C-E27,973,201
3C-E17,973,255
3C-E15,973,277
3C-E11,972,293
3C-E09A,971,307
3C-E09,972,316
3C-E05,971,333
3C-D02,967,358
3C-D42,962,117
3C-D40,962,135
3C-D38,962,143
