NAME_KR,NAME_EN,DESCRIPTION_KR,DESCRIPTION_EN,KEYWORDS_KR,KEYWORDS_EN,IMAGE_URL,COMPANY_NAME_EN,INDUSTRY_NAME_KR,INDUSTRY_NAME_EN
PVC Personal Planner,PVC Personal Planner,PVC Personal Planner,PVC Personal Planner,,,,Debo Artcraft Manufacturing Company Limited,"Lunch Box, Pencil Box & Bag, School Bag; Pencil case / zipper binder / backpack / lunch bag; OEM, ODM","Lunch Box, Pencil Box & Bag, School Bag; Pencil case / zipper binder / backpack / lunch bag; OEM, ODM"
Pencil Case,Pencil Case,Pencil Case,Pencil Case,,,,"Jinhua Feima Bag Co., Ltd.","School Bag; Bag; ODM, OEM","School Bag; Bag; ODM, OEM"
Ultra-Clean Color Pen,Ultra-Clean Color Pen,Ultra-Clean Color Pen.Washable,Ultra-Clean Color Pen.Washable,,,,"Wenzhou Kaiwen Stationery & Sports Manufacturing Co., Limited","School Bag, Highlighter; School Supplies, Water Color Pens, Stationery Gifts and whiteboard markers.; ODM, OEM","School Bag, Highlighter; School Supplies, Water Color Pens, Stationery Gifts and whiteboard markers.; ODM, OEM"
Multifunction Glue,Multifunction Glue,Multifunction Glue,Multifunction Glue,,,,Jiangsu Xingda Stationery Group Company Limited,"Paste & Glue; Glue Sticks, White Glues, Liquid Glues, Glitter Glues, Crayons, Paint, Cleaner, Doodle Set.; OBM, OEM, ODM","Paste & Glue; Glue Sticks, White Glues, Liquid Glues, Glitter Glues, Crayons, Paint, Cleaner, Doodle Set.; OBM, OEM, ODM"
