booth_code,x,y
5E-E18,785,284
5E-E16,785,299
5E-E15,759,299
5E-E14,780,314
5E-E13,759,314
5E-E10,782,342
5E-E09,758,342
5E-E08,782,354
5E-E07,759,357
5E-E06,783,368
5E-E05,759,369
5E-E03,759,381
5E-E02,783,389
5E-E01,758,395
5E-D32,746,186
5E-D31,724,188
5E-D26,744,223
5E-D25,724,223
5E-D22,745,257
5E-D21,725,256
5E-D20,747,271
5E-D19,724,269
5E-D18,744,285
5E-D17,724,284
5E-D16,745,299
5E-D15,724,300
5E-D14,745,313
5E-D13,725,315
5E-D10,745,340
5E-D09,726,340
5E-D08,745,356
5E-D07,722,356
5E-D01,724,382
5E-D06,743,369
5E-D04,746,382
5E-D02,745,395
5E-C02,707,395
5E-C04,709,382
5E-C01,687,389
5E-C26,710,225
5E-C25,686,225
5E-C22,709,257
5E-C21,687,257
5E-C20,710,273
5E-C19,689,271
5E-C17,687,285
5E-C18,709,286
5E-C14,710,308
5E-C15,689,299
5E-C13,689,313
5E-C11,687,340
5E-C18,712,347
5E-C09,689,354
5E-C05,689,369
5E-C06,710,371
5E-B28,673,216
5E-B26,674,230
5E-B27,650,207
5E-B25,649,231
5E-B22,673,257
5E-B21,653,255
5E-B20,673,270
5E-B19,649,272
5E-B18,677,285
5E-B17,651,285
5E-B15,649,300
5E-B13,650,314
5E-B12,674,342
5E-B11,651,343
5E-B10,676,357
5E-B09,648,354
5E-B06,675,369
5E-B02,674,390
5E-B05,653,370
5E-B03,653,384
5E-B01,653,395
5E-A32,642,186
5E-A28,637,208
5E-A26,637,229
5E-A22,635,259
5E-A20,637,271
5E-A16,638,290
5E-A14,639,312
5E-A12,638,342
5E-A10,635,356
5E-A06,635,369
5E-A04,638,383
5E-A02,637,395
5C-G39,477,145
5C-G35,478,172
5C-G33,479,186
5C-G29,476,198
5C-G27,478,215
5C-G25,480,231
5C-G21,478,325
5C-G15,478,347
5C-G01,477,395
5C-G03,479,376
5C-F02,463,395
5C-F01,441,396
5C-F03,441,381
5C-F06,464,381
5C-F05,440,367
5C-F07,441,355
5C-F12,463,365
5C-F18,463,353
5C-F20,466,340
5C-F22,462,323
5C-F26,464,229
5C-F25,440,224
5C-F15,440,299
5C-F17,442,285
5C-F19,438,262
5C-F29,439,201
5C-F33,440,186
5C-C40,424,145
5C-E36,424,173
5C-E34,425,188
5C-E30,428,202
5C-E28,429,217
5C-E35,406,200
5C-E27,404,217
5C-E26,425,230
5C-E25,404,230
5C-E22,428,257
5C-E20,426,271
5C-E19,406,264
5C-E18,429,284
5C-E17,403,284
5C-E15,405,300
5C-E13,406,313
