booth_code,x,y
Silver 3,74,468
CP250,173,249
CP451,138,247
CP145,159,225
CP134,150,182
100,117,178
CP1035,105,165
CP1645,72,209
CP823,110,131
CP808,109,71
CP819,121,102
CP1119,98,101
