booth_code,x,y
W327,385,277
W326,354,278
W325,322,277
W324,386,220
W323,353,224
W322,323,222
W301,57,333
W302,83,287
W307,151,386
W308,161,364
W309,171,345
W310,185,321
W303,96,361
W304,110,339
W305,120,317
W306,130,294
W311,217,280
W312,195,268
W313,173,257
W316,250,219
W315,228,207
W314,207,194
W317,281,164
W318,258,150
W319,238,139
W321,296,107
W320,252,84
