booth_code,x,y
3F-H04,136,434
3F-H02,105,439
3F-J09,244,403
3F-J07,214,408
3F-J05,183,413
3F-J03,134,420
3F-J01,105,425
3F-J14,282,361
3F-J12,232,367
3F-J10,204,368
3F-J08,175,367
3F-J06,147,367
3F-J04,117,368
3F-J02,88,367
3G-A05,148,346
3G-A01,102,347
3F-A13,279,346
3G-A16,289,311
3G-A14,260,312
3G-A12,233,311
3G-A06,147,312
3G-A04,117,312
3G-A02,88,312
3G-B15,290,291
3G-B13,261,291
3G-B11,233,290
3G-B09,204,292
3G-B07,176,291
3G-B05,148,291
3G-B03,117,291
3G-B01,89,290
