booth_code,x,y
3E-A23,979,308
3E-A19,979,323
3E-A17,979,335
3E-E16,972,348
3E-E36,965,230
3E-E34,966,240
3D-E34,968,242
3D-E28,972,279
3D-E26,967,294
3D-E24,964,307
3D-E20,966,323
3D-E18,965,334
3D-E12,973,380
3D-E10,971,394
3D-E08,973,403
3E-A01,979,427
3D-E04,965,415
3D-E02,966,435
3D-E39,943,206
3D-E37,943,217
3D-D38,931,212
3D-D34,941,235
3D-D30,940,271
3D-D26,940,293
3D-D24,940,308
3D-D20,931,321
3D-D18,934,331
3D-E19,945,322
3D-E17,944,333
3D-D16,936,348
3D-D14,934,372
3D-E13,946,369
3D-E11,944,393
3D-D12,932,387
3D-D08,933,404
3D-D04,931,420
3D-D02,933,435
3D-E01,943,439
3D-E03,945,422
3D-E07,944,403
3D-D39,910,206
3D-D37,910,218
3D-D33,909,235
3D-C32,900,235
3D-C38,897,214
3D-D25,908,276
3D-C26,898,276
3D-C22,897,306
3D-D21,910,305
3D-C20,898,325
3D-D19,911,324
3D-C16,899,341
3D-D15,909,340
3D-C12,898,374
3D-D11,909,373
3D-D09,911,393
3D-D07,911,405
3D-D05,911,415
3D-C02,903,431
3D-C06,897,415
3D-C08,897,403
3D-C10,899,391
3D-C39,875,208
3D-C35,877,223
3D-C33,878,237
3D-B40,865,207
3D-B38,866,218
3D-B34,864,235
3D-C27,876,270
3D-C21,877,299
3D-C19,878,324
3D-C15,878,341
3D-B26,865,276
3D-B24,865,299
3D-B20,864,314
3D-B18,864,332
3D-B16,865,349
3D-C11,876,375
3D-C09,878,394
3D-C07,876,403
3D-C05,877,415
3D-C01,875,433
3D-B12,865,372
3D-B10,865,393
3D-B06,864,408
3D-B02,865,432
3D-A40,832,208
3D-A34,832,231
3D-B39,845,208
3D-B37,843,219
3D-B35,845,229
3D-B33,844,244
3D-A22,840,298
3D-A18,835,329
3D-A16,833,346
3D-B19,844,323
3D-B17,845,336
3D-B15,845,348
3D-B11,840,380
3D-B05,844,409
3D-B03,844,426
3D-B01,845,440
3D-A08,833,403
3D-A04,834,423
3D-A02,833,438
3D-A37,810,212
3D-A35,810,230
3D-A33,810,242
3C-F40,796,205
3C-F38,799,219
3C-F34,798,234
3D-A23,810,292
3D-A19,811,318
3D-A15,812,341
3D-F24,798,294
3D-F22,799,310
3C-F20,799,323
3C-F22,799,310
3C-F18,800,341
3D-A11,822,381
3D-A11A,810,381
3C-F12,798,376
3D-A05,809,412
3C-F08,798,403
3C-F06,798,416
3C-F02,798,435
3D-A01,811,434
3C-F39,777,207
3C-F37,778,217
3C-F33,777,235
3C-E38,767,211
3C-E34,767,234
3C-F29,778,264
3C-F25,779,284
3C-E28,767,269
3C-E26,766,287
3C-E20,767,311
3C-F17,778,319
3C-E16,767,341
3C-F15,777,347
3C-F11,778,373
3C-F09,778,391
3C-F05,779,412
3C-E02,773,434
3C-E14,766,368
3C-E12,766,379
3C-E10,766,392
3C-E06,767,410
3C-E37,745,212
3C-E33,745,237
3C-D38,735,212
3C-D34,734,235
3C-E29,747,263
3C-E23,746,288
3C-D28,736,269
3C-D26,735,289
3C-D24,733,302
3C-D22,734,312
3C-D20,734,323
3C-D18,735,336
3C-D16,734,348
3C-E21,746,313
3C-E15,749,336
3C-D14,735,366
3C-D12,735,377
3C-D10,734,391
3C-D08,735,403
3C-D06,735,416
3C-D04,733,428
3C-D02,733,438
3C-E13,747,367
3C-E11,747,378
3C-E07,746,398
3C-E05,745,415
3C-E03,747,428
3C-E01,749,438
GH-F03,108,459
GH-F01,126,486
GH-F11,166,466
3CON-018,1207,344
3CON-021,1212,388
3CON-016,1213,399
3CON-030,1204,386
3CON-031,1205,400
3CON-001,1306,428
3CON-037,1220,434
3CON-041,1268,391
3CON-040,1267,403
3CON-039,1260,391
3CON-038,1259,403
3CON-019,1265,436
3CON-006,1264,499
3CON-005,1266,509
3CON-032,1220,502
3CON-035,1188,466
3CON-010,1255,500
3CON-074,1131,538
3CON-175,1027,516
3CON-072,983,544
3CON-078,927,555
3CON-079,908,555
3CON-080,896,557
3CON-171,890,515
3CON-082,868,554
3CON-081,884,557
3CON-083,855,553
3CON-084,843,551
3CON-085,828,546
3CON-087,799,541
3CON-088,786,538
3CON-089,776,535
3CON-090,757,533
3CON-091,744,536
3CON-092,734,537
3CON-093,721,542
3CON-094,706,542
3CON-095,687,545
3CON-096,681,546
3CON-097,672,551
3CON-098,656,549
3CON-099,642,552
3CON-100,629,554
3CON-101,619,554
3CON-102,603,554
3CON-103,590,556
3CON-104,580,556
3CON-105,569,558
3CON-106,552,557
3CON-107,539,560
3CON-108,529,555
3CON-109,515,558
3CON-110,498,558
3CON-111,485,560
3CON-112,475,556
3CON-114,463,560
3CON-115,450,554
3CON-116,437,558
3CON-117,423,554
3CON-118,410,554
3CON-118,398,553
3CON-119,383,554
3CON-120,373,550
3CON-121,361,551
3CON-122,342,551
3CON-123,332,545
3CON-124,319,543
3CON-125,307,543
3CON-126,292,542
3CON-127,280,539
3CON-128,268,539
3CON-129,258,534
3CON-144,237,501
3CON-145,274,508
3CON-147,398,525
3CON-148,421,527
3CON-149,434,529
3CON-155,584,528
3CON-156,603,527
3CON-157,616,526
3CON-158,654,521
3CON-159,675,518
3CON-161,683,499
3CON-162,716,494
3CON-163,742,494
3CON-165,755,507
3CON-166,785,500
3CON-167,842,509
3CON-168,855,510
