booth_code,x,y,FLOOR
GH-K01,38,247,3
GH-A26,228,41,3
GH-A20,229,89,3
GH-A18,229,126,3
GH-A16,230,148,3
GH-A14,232,169,3
GH-A08,230,257,3
GH-A06,229,304,3
GH-R06,117,502,3
GH-R12,173,427,3
GH-B25,249,34,3
GH-B17,255,127,3
GH-B15,253,147,3
GH-B13,256,172,3
GH-B07,254,258,3
GH-B05,252,310,3
GH-B03,254,348,3
GH-B26,289,27,3
GH-B24,303,71,3
GH-B22,305,92,3
GH-B20,300,128,3
GH-B18,305,149,3
GH-B16,302,169,3
GH-B12,298,242,3
GH-B10B,296,264,3
GH-B10A,294,278,3
GH-B08B,296,291,3
GH-B08A,295,302,3
GH-B06B,296,314,3
GH-B06A,296,330,3
GH-B04B,295,343,3
GH-B04A,296,354,3
GH-B02B,297,366,3
GH-B02A,297,378,3
GH-C13,322,238,3
GH-C11,318,269,3
GH-C09,320,292,3
GH-C07,319,321,3
GH-C05,322,346,3
GH-C03,322,370,3
GH-D21,350,31,3
GH-C25,315,28,3
GH-D22,376,32,3
GH-D23,418,29,3
GH-E21,438,25,3
GH-E22,480,29,3
GH-F21,502,31,3
GH-C18,372,94,3
GH-C23,324,69,3
GH-C21,325,93,3
GH-C19,326,125,3
GH-C17,323,147,3
GH-C15,328,169,3
GH-D17,396,93,3
GH-C14,385,150,3
GH-C10,370,247,3
GH-C08,360,280,3
GH-D07,385,277,3
GH-C06,362,315,3
GH-D05,383,317,3
GH-D03,386,339,3
GH-C02,375,384,3
GH-D20,442,107,3
GH-E19,465,109,3
GH-D14,444,149,3
GH-E13,467,147,3
GH-D08,435,256,3
GH-D06,427,316,3
GH-E05,449,316,3
GH-D04,426,339,3
BMS COUNTER,430,386,3
GH-E20,513,99,3
GH-E18,513,121,3
GH-E14,511,153,3
GH-E08,490,248,3
GH-F07,513,252,3
GH-E06,489,317,3
GH-F05,514,317,3
GH-E04,490,341,3
DECORATION FOR DESIGNER CAFE,554,40,3
GH-SC,362,442,3
