booth_code,x,y,FLOOR
1E-C23,928,204,1
1E-C21,928,225,1
1E-B22,911,231,1
1E-B18,918,260,1
1E-B14,917,314,1
1E-C09,926,357,1
1E-B08,911,377,1
1E-C05,928,397,1
1E-B02,919,432,1
1E-C32,955,111,1
1E-D33,970,107,1
1E-C30,955,129,1
1E-C28,955,150,1
1E-C24,955,173,1
1E-D27,969,169,1
1E-D34,997,109,1
1E-E33,1013,118,1
1E-D28,999,169,1
1E-E32,1044,121,1
1E-C22,956,212,1
1E-D23,968,194,1
1E-C18,960,262,1
1E-D24,998,197,1
1E-E23,1012,199,1
1E-D22,996,218,1
1E-D18,1004,259,1
1E-E20,1041,248,1
1E-E18,1041,269,1
1E-E16,1043,290,1
1E-E10,1044,366,1
1E-E08,1041,388,1
1E-E06,1043,407,1
1E-E04,1043,429,1
1E-E02,1042,448,1
1E-C12,954,323,1
1E-D11,969,324,1
1E-C10,952,368,1
1E-D09,970,365,1
1E-C08,962,386,1
1E-D05,970,407,1
1E-C02,960,433,1
1E-D14,996,311,1
1E-E13,1014,314,1
1E-D12,997,346,1
1E-D10,997,361,1
1E-E09,1014,363,1
1E-D06,996,404,1
1E-E07,1011,386,1
1E-E05,1012,407,1
1E-D02,1003,439,1
1CON-018,118,599,1
1CON-019,146,604,1
1CON-026,192,597,1
1CON-027,211,601,1
1CON-028,271,596,1
1CON-031,218,560,1
1CON-032,264,560,1
1CON-033,295,556,1
1CON-034,316,556,1
1CON-035,337,592,1
1CON-047,366,552,1
1CON-038,385,586,1
1CON-039,416,582,1
1CON-059,492,533,1
1CON-045,672,543,1
1CON-055,707,520,1
1CON-046,642,588,1
1CON-050,673,587,1
1CON-051,696,587,1
1CON-052,735,591,1
1CON-064,839,542,1
1CON-057,798,590,1
1CON-060,847,588,1
BM COUNTER,91,272,1
MEETING ROOM,553,147,1
BS COUNTER,1045,156,1
