NAME_KR,NAME_EN,DESCRIPTION_KR,DESCRIPTION_EN,KEYWORDS_KR,KEYWORDS_EN,IMAGE_URL,COMPANY_NAME_EN,INDUSTRY_NAME_KR,INDUSTRY_NAME_EN
Qian Jiang Yuan Kai Men Hong Black Tea Song2000,Qian Jiang Yuan Kai Men Hong Black Tea Song2000,"This tea exhibits tightly rolled, fine leaves with a dark, lustrous appearance and visible golden tips. The dry leaves appear neat and uniform. The liquor displays a bright, translucent orange-red hue. The aroma offers a delicate sweet floral fragrance, while the palate presents a sweet and mellow taste. The infused leaves reveal fine, tender leaves with an even reddish color.","This tea exhibits tightly rolled, fine leaves with a dark, lustrous appearance and visible golden tips. The dry leaves appear neat and uniform. The liquor displays a bright, translucent orange-red hue. The aroma offers a delicate sweet floral fragrance, while the palate presents a sweet and mellow taste. The infused leaves reveal fine, tender leaves with an even reddish color.",,,,"Zhejiang Longding Tea Group Co., Ltd.","Black Tea,Green Tea; Kaihua Longding Tea Qian jiangyuan Open Door Black Tea; OBM","Black Tea,Green Tea; Kaihua Longding Tea Qian jiangyuan Open Door Black Tea; OBM"
Qian Jiang Yuan Kai Men Hong Black Tea,Qian Jiang Yuan Kai Men Hong Black Tea,"This tea features tightly compressed, fairly dark and glossy leaves that are even and clean. The liquor is bright orange-red; the aroma is sweet with floral notes; the flavor is mellow and well-rounded. The brewed leaves are fairly tender, still reddish-bright, and fairly intact.","This tea features tightly compressed, fairly dark and glossy leaves that are even and clean. The liquor is bright orange-red; the aroma is sweet with floral notes; the flavor is mellow and well-rounded. The brewed leaves are fairly tender, still reddish-bright, and fairly intact.",,,,"Zhejiang Longding Tea Group Co., Ltd.","Black Tea,Green Tea; Kaihua Longding Tea Qian jiangyuan Open Door Black Tea; OBM","Black Tea,Green Tea; Kaihua Longding Tea Qian jiangyuan Open Door Black Tea; OBM"
Kaihua Longding Green Tea Qianjiangyuan Kaimenghong Black Tea Qiantang Yu Tea × Tomic Teacup Co-Branded Gift Box,Kaihua Longding Green Tea Qianjiangyuan Kaimenghong Black Tea Qiantang Yu Tea × Tomic Teacup Co-Branded Gift Box,"This is an exquisitely crafted gift box, available in two color variants:; The blue gift box features Kaihua Longding Green Tea,; The red gift box contains Qianjiangyuan Kaimenghong Black Tea.; Both boxes include the same Tomic brand teacup.","This is an exquisitely crafted gift box, available in two color variants:; The blue gift box features Kaihua Longding Green Tea,; The red gift box contains Qianjiangyuan Kaimenghong Black Tea.; Both boxes include the same Tomic brand teacup.",,,,"Zhejiang Longding Tea Group Co., Ltd.","Black Tea,Green Tea; Kaihua Longding Tea Qian jiangyuan Open Door Black Tea; OBM","Black Tea,Green Tea; Kaihua Longding Tea Qian jiangyuan Open Door Black Tea; OBM"
Kai Hua Long Ding Green Tea Quhao,Kai Hua Long Ding Green Tea Quhao,"This tea features tightly curled, relatively green and lustrous dry leaves with good uniformity and cleanliness. The liquor presents a bright green hue, carrying a refreshing fragrance with a hint of floral notes. The taste is rich and mellow with a pleasantly brisk character. The infused leaves display a vibrant green color and fairly even consistency.","This tea features tightly curled, relatively green and lustrous dry leaves with good uniformity and cleanliness. The liquor presents a bright green hue, carrying a refreshing fragrance with a hint of floral notes. The taste is rich and mellow with a pleasantly brisk character. The infused leaves display a vibrant green color and fairly even consistency.",,,,"Zhejiang Longding Tea Group Co., Ltd.","Black Tea,Green Tea; Kaihua Longding Tea Qian jiangyuan Open Door Black Tea; OBM","Black Tea,Green Tea; Kaihua Longding Tea Qian jiangyuan Open Door Black Tea; OBM"
Kai Hua Long Ding Green Tea Yuan800,Kai Hua Long Ding Green Tea Yuan800,"This tea is a pre-Qingming first-grade single bud. The dry leaves are relatively straight, greenish, and uniform in appearance. The liquor displays a bright green color with a fresh, fragrant aroma. Its taste is mellow with a pleasantly refreshing aftertaste. The brewed leaves are tender, green, bright, and evenly whole.","This tea is a pre-Qingming first-grade single bud. The dry leaves are relatively straight, greenish, and uniform in appearance. The liquor displays a bright green color with a fresh, fragrant aroma. Its taste is mellow with a pleasantly refreshing aftertaste. The brewed leaves are tender, green, bright, and evenly whole.",,,,"Zhejiang Longding Tea Group Co., Ltd.","Black Tea,Green Tea; Kaihua Longding Tea Qian jiangyuan Open Door Black Tea; OBM","Black Tea,Green Tea; Kaihua Longding Tea Qian jiangyuan Open Door Black Tea; OBM"
Kai Hua Long Ding Green Tea Tang5000,Kai Hua Long Ding Green Tea Tang5000,"This tea is crafted from carefully selected pre-Qingming first flush single buds. The dry leaves appear short and tight, showcasing an emerald green hue with uniform neatness. The liquor presents a bright green color, exuding a fresh and lingering aroma. It offers a refreshingly mellow and brisk taste, while the infused leaves reveal tender, bright, and evenly whole buds.","This tea is crafted from carefully selected pre-Qingming first flush single buds. The dry leaves appear short and tight, showcasing an emerald green hue with uniform neatness. The liquor presents a bright green color, exuding a fresh and lingering aroma. It offers a refreshingly mellow and brisk taste, while the infused leaves reveal tender, bright, and evenly whole buds.",,,,"Zhejiang Longding Tea Group Co., Ltd.","Black Tea,Green Tea; Kaihua Longding Tea Qian jiangyuan Open Door Black Tea; OBM","Black Tea,Green Tea; Kaihua Longding Tea Qian jiangyuan Open Door Black Tea; OBM"
Qian Jiang Yuan Kai Men Hong Black Tea Tang5000,Qian Jiang Yuan Kai Men Hong Black Tea Tang5000,"This tea features tightly rolled, slender leaves with a slight curve, exhibiting a brownish hue with visible tips. The leaves are uniform and clean. The liquor presents a bright red color, releasing a sweet floral aroma. The taste is fresh, mellow, sweet, and refreshing. The infused leaves show tender, soft, and uniformly bright red characteristics.","This tea features tightly rolled, slender leaves with a slight curve, exhibiting a brownish hue with visible tips. The leaves are uniform and clean. The liquor presents a bright red color, releasing a sweet floral aroma. The taste is fresh, mellow, sweet, and refreshing. The infused leaves show tender, soft, and uniformly bright red characteristics.",,,,"Zhejiang Longding Tea Group Co., Ltd.","Black Tea,Green Tea; Kaihua Longding Tea Qian jiangyuan Open Door Black Tea; OBM","Black Tea,Green Tea; Kaihua Longding Tea Qian jiangyuan Open Door Black Tea; OBM"
Kai Hua Long Ding Green Tea Song1500,Kai Hua Long Ding Green Tea Song1500,"This tea consists of a single bud and leaf, presenting a slightly curved strip shape. Its color is fairly green and glossy, with relatively uniform neatness. The liquor displays a bright green hue, carrying a fresh chestnut aroma. The taste is rich and mellow. The infused leaves appear tender, bright green, and relatively even in appearance.","This tea consists of a single bud and leaf, presenting a slightly curved strip shape. Its color is fairly green and glossy, with relatively uniform neatness. The liquor displays a bright green hue, carrying a fresh chestnut aroma. The taste is rich and mellow. The infused leaves appear tender, bright green, and relatively even in appearance.",,,,"Zhejiang Longding Tea Group Co., Ltd.","Black Tea,Green Tea; Kaihua Longding Tea Qian jiangyuan Open Door Black Tea; OBM","Black Tea,Green Tea; Kaihua Longding Tea Qian jiangyuan Open Door Black Tea; OBM"
Qian Jiang Yuan Kai Men Hong Black Tea Yuan500,Qian Jiang Yuan Kai Men Hong Black Tea Yuan500,"This tea features tightly compressed leaves that are rather dark and glossy, with fairly even cleanliness. The liquor displays a bright orange-red hue, exuding a sweet floral aroma. Its taste is mellow and well-rounded, while the infused leaves reveal a tender, soft texture with still slightly red brightness, appearing fairly intact.","This tea features tightly compressed leaves that are rather dark and glossy, with fairly even cleanliness. The liquor displays a bright orange-red hue, exuding a sweet floral aroma. Its taste is mellow and well-rounded, while the infused leaves reveal a tender, soft texture with still slightly red brightness, appearing fairly intact.",,,,"Zhejiang Longding Tea Group Co., Ltd.","Black Tea,Green Tea; Kaihua Longding Tea Qian jiangyuan Open Door Black Tea; OBM","Black Tea,Green Tea; Kaihua Longding Tea Qian jiangyuan Open Door Black Tea; OBM"
Kai Hua Long Ding Green Tea Yuan500,Kai Hua Long Ding Green Tea Yuan500,"This tea is a first-grade pre-Ming Qingming Festival single bud.; The dry tea buds are relatively straight, green, lustrous, uniform, and clean.; The liquor displays a yellow-green brightness.; Its fragrance is fresh and relatively long-lasting.; The taste profile is rich, mellow, and fairly refreshing.; The infused leaves reveal tender green, bright buds that are relatively uniform and neat.","This tea is a first-grade pre-Ming Qingming Festival single bud.; The dry tea buds are relatively straight, green, lustrous, uniform, and clean.; The liquor displays a yellow-green brightness.; Its fragrance is fresh and relatively long-lasting.; The taste profile is rich, mellow, and fairly refreshing.; The infused leaves reveal tender green, bright buds that are relatively uniform and neat.",,,,"Zhejiang Longding Tea Group Co., Ltd.","Black Tea,Green Tea; Kaihua Longding Tea Qian jiangyuan Open Door Black Tea; OBM","Black Tea,Green Tea; Kaihua Longding Tea Qian jiangyuan Open Door Black Tea; OBM"
Qian Jiang Yuan Kai Men Hong Black Tea Tang3000,Qian Jiang Yuan Kai Men Hong Black Tea Tang3000,"This tea features dry leaves that are tight, thin, and curly, appearing dark brown with visible pekoe, even and clean. The liquor is bright orange-red in color, offering a sweet aroma with floral notes. The taste is mellow, sweet, and refreshing. The brewed leaves are tender and soft, bright red in color, and even.","This tea features dry leaves that are tight, thin, and curly, appearing dark brown with visible pekoe, even and clean. The liquor is bright orange-red in color, offering a sweet aroma with floral notes. The taste is mellow, sweet, and refreshing. The brewed leaves are tender and soft, bright red in color, and even.",,,,"Zhejiang Longding Tea Group Co., Ltd.","Black Tea,Green Tea; Kaihua Longding Tea Qian jiangyuan Open Door Black Tea; OBM","Black Tea,Green Tea; Kaihua Longding Tea Qian jiangyuan Open Door Black Tea; OBM"
