No. ,Exhibitor Name (KOR),Exhibitor Name (ENG),Country ,Hall,Show Name ,Exhibit Item (KOR),Exhibit Item (ENG)
95,"Xiamen Egret Solar New Energy Technology Co.,Ltd ","Xiamen Egret Solar New Energy Technology Co.,Ltd ",China,C3.785 ,InterBattery Europe,,Solar mounting products
96,Neware Technology Limited,Neware Technology Limited ,China,C3.734,InterBattery Europe,,"battery testing system, environmental chamber, etc."
97,Albat doo Sarajevo ,Albat doo Sarajevo ,Bosnia and Herzegovina ,B0.136 ,ees Europe ,,Lead-based batteries | Lithium-based batteries | BatteryChargers | Stationary energy storage for utilities and gridoperators | Stationary energy storage for residential buildings |Uninterruptible power supply systems (UPS) | Stationary energystorage for commercial and industrial applications | DCcharging systems
98,AKKU SYS Akkumulator- und Batterietechnik NordGmbH,AKKU SYS Akkumulator- und Batterietechnik NordGmbH ,Germany,B1.440 ,ees Europe ,,Materials and components | Lithium-based batteries | ACcharging systems | Home energy management solutions(HEMS)
99,Alpha ESS Europe GmbH,Alpha ESS Europe GmbH ,Germany,B1.150 ,ees Europe ,,"Lithium-based batteries | Stationary energy storage for utilitiesand grid operators | Stationary energy storage for residentialbuildings | Uninterruptible power supply systems (UPS) | ICT,software for energy storage systems | Stationary energy storagefor commercial and industrial applications | AC chargingsystems | Energy management, monitoring, controlling and loadmanagement | Flexibility management (loadmanagement/demand response) | Research and development"
100,"Anker Technology (UK) Co., Ltd.","Anker Technology (UK) Co., Ltd. ",United Kingdom ,B1.571,ees Europe ,,Other energy storage technologies | Stationary energy storagefor residential buildings
101,Bachmann electronic GmbH ,Bachmann electronic GmbH ,Austria ,B1.119 ,ees Europe ,,"Stationary energy storage for utilities and grid operators |Stationary energy storage for commercial and industrialapplications | Products and services for microgrids | Productsand services for smart grids | Combined heat, (cooling) andpower systems"
102,BASF Stationary Energy Storage GmbH,BASF Stationary Energy Storage GmbH ,Germany,B1.309,ees Europe ,,Other battery technologies
103,"Beijing Energy Connecting International ExhibitionCo., Ltd.","Beijing Energy Connecting International ExhibitionCo., Ltd. ",China ,B1.151 ,ees Europe ,,"Lithium-based batteries | Stationary energy storage for utilitiesand grid operators | Energy Storage for low-capacity mobileapplications (smartphones, laptops, tablets, etc.) | Stationaryenergy storage for residential buildings | Stationary energystorage for commercial and industrial applications"
104,"Beijing HyperStrong Technology Co., Ltd.","Beijing HyperStrong Technology Co., Ltd. ",China,B1.519 ,ees Europe ,,"EPC contracting/project development for energy storagesystems | Stationary energy storage for utilities and gridoperators | Energy Storage for low-capacity mobile applications(smartphones, laptops, tablets, etc.) | Stationary energy storagefor residential buildings | Stationary energy storage forcommercial and industrial applications"
