No. ,Exhibitor Name (KOR),Exhibitor Name (ENG),Country ,Hall,Show Name ,Exhibit Item (KOR),Exhibit Item (ENG)
81,"CHONGQING LIHONG FINE CHEMICALS CO., LTD.","CHONGQING LIHONG FINE CHEMICALS CO., LTD.",China,C3.755 ,InterBattery Europe,,Sodium Carboxy Methyl Cellulose (CMC)
82,"Shenzhen Swalle Technology Co.,Ltd.","Shenzhen Swalle Technology Co.,Ltd.",China,C3.757 ,InterBattery Europe,,"LifePO4 battery, Portbable power station, Home energy storage system"
83,"China ZBB group Shanghai transformer Co., Ltd. ","China ZBB group Shanghai transformer Co., Ltd.",China,C3.668,InterBattery Europe,,Power Transformer
84,"SHENZHEN BLUESEA INTELLIGENT MANUFACTURING TECHNOLOGY.CO.,LTD. ","SHENZHEN BLUESEA INTELLIGENT MANUFACTURING TECHNOLOGY.CO.,LTD. ",China,C3.674,InterBattery Europe,,Energy Storage battery/lithium battery Moudle Pack Automatic Assembly Line
85,"ShenZhen Friend Mechanical and Electrical Technology Co., Ltd ","ShenZhen Friend Mechanical and Electrical Technology Co., Ltd ",China,C3.670 ,InterBattery Europe,,"heatsink,cooling plate,heat exchanger,air conditioner"
86,"Xiamen Taohong Technology Co., Ltd","Xiamen Taohong Technology Co., Ltd",China,C3.672 ,InterBattery Europe,,"Solar Sunflower, Solor Mouting Brackets"
87,LOVSUN TEK CO.LTD,LOVSUN TEK CO.LTD ,China,C3.676,InterBattery Europe,,"Solar battery, energy storage system"
88,Sysai Global Venture Ltd ,Sysai Global Venture Ltd,China,C3.678 ,InterBattery Europe,,Battery and solar panels for home usage
89,"LUAN GREENERGY REFRACTORY AND INSULATION MATERIAL CO., LTD ","LUAN GREENERGY REFRACTORY AND INSULATION MATERIAL CO., LTD ",China,C3.680 ,InterBattery Europe,,Insulation Materials
90,"Anhui Lvwo Energy Technology Co., Ltd. ","Anhui Lvwo Energy Technology Co., Ltd. ",China,C3.771,InterBattery Europe,,"12V lithium battery, household energy storage, industrial and commercial energy storage"
91,"Anhui Hanxing Energy Co., Ltd.","Anhui Hanxing Energy Co., Ltd.",China,C3.773 ,InterBattery Europe,,"PCS, battery, BMS, EMS, thermal management, power distribution and fire protection"
92,"Anhui Jixingyuan Technology Co., Ltd ","Anhui Jixingyuan Technology Co., Ltd ",China,C3.777 ,InterBattery Europe,,"Precision coating equipment for cadmium chloride in thin-film photovoltaics, precision roll coating and UV curing equipment for photoresist, AR coating equipment for photovoltaic glass"
93,"Jiangsu Weijinmai Tech. Co., Ltd. ","Jiangsu Weijinmai Tech. Co., Ltd.",China,C3.779 ,InterBattery Europe,,nickel-plated strip steel for new energy battery cases
94,"Sky Star Advanced Materials Technology (Suzhou) Co., Ltd. ","Sky Star Advanced Materials Technology (Suzhou) Co., Ltd.",China,C3.320,InterBattery Europe,,"Sandbox，Pneumatic conveying equipment, Flow cell, Optical machine,10-station filling system."
